node, distance_to, predecessor
0, 0, 0
1, 55, 0
2, 60, 0
3, 72, 0
4, 85, 0
5, 61, 0
6, 86, 0
7, 55, 0
8, 85, 0
9, 43, 0
10, 63, 0
11, 4294967295, 0
12, 4294967295, 0
13, 4294967295, 0
14, 295, 240
15, 4294967295, 0
16, 4294967295, 0
17, 289, 29296
18, 4294967295, 0
19, 4294967295, 0
20, 4294967295, 0
21, 4294967295, 0
22, 407, 34310
23, 353, 12622
24, 367, 9587
25, 469, 22
26, 229, 27009
27, 469, 22
28, 430, 22
29, 206, 4489
30, 242, 3902
31, 502, 22
32, 222, 1971
33, 4294967295, 0
34, 4294967295, 0
35, 4294967295, 0
36, 4294967295, 0
37, 371, 2360
38, 4294967295, 0
39, 252, 15687
40, 390, 32352
41, 4294967295, 0
42, 4294967295, 0
43, 254, 1637
44, 302, 43
45, 242, 1338
46, 189, 11555
47, 253, 536
48, 188, 536
49, 266, 43
50, 188, 536
51, 207, 536
52, 233, 536
53, 245, 536
54, 4294967295, 0
55, 4294967295, 0
56, 308, 26373
57, 4294967295, 0
58, 316, 8796
59, 339, 679
60, 298, 2191
61, 4294967295, 0
62, 4294967295, 0
63, 541, 20341
64, 4294967295, 0
65, 242, 7641
66, 190, 954
67, 317, 5157
68, 4294967295, 0
69, 4294967295, 0
70, 4294967295, 0
71, 268, 4315
72, 4294967295, 0
73, 4294967295, 0
74, 4294967295, 0
75, 4294967295, 0
76, 4294967295, 0
77, 332, 7186
78, 375, 77
79, 394, 77
80, 393, 77
81, 380, 77
82, 334, 77
83, 212, 11544
84, 363, 77
85, 404, 77
86, 202, 11544
87, 361, 77
88, 4294967295, 0
89, 4294967295, 0
90, 4294967295, 0
91, 313, 10012
92, 227, 6262
93, 264, 3424
94, 4294967295, 0
95, 571, 35386
96, 4294967295, 0
97, 344, 10936
98, 4294967295, 0
99, 231, 419
100, 275, 99
101, 254, 99
102, 303, 14898
103, 246, 99
104, 268, 99
105, 241, 99
106, 275, 99
107, 330, 99
108, 279, 22412
109, 258, 99
110, 315, 34632
111, 396, 110
112, 220, 3152
113, 386, 110
114, 360, 110
115, 283, 15537
116, 325, 110
117, 222, 241
118, 351, 110
119, 272, 15740
120, 286, 119
121, 313, 119
122, 276, 119
123, 279, 119
124, 356, 18979
125, 342, 119
126, 285, 15702
127, 318, 119
128, 315, 119
129, 315, 2656
130, 344, 15009
131, 298, 7035
132, 240, 17107
133, 249, 5196
134, 231, 2818
135, 378, 130
136, 210, 16973
137, 393, 130
138, 295, 3888
139, 378, 130
140, 364, 130
141, 125, 2
142, 216, 141
143, 152, 141
144, 139, 141
145, 128, 141
146, 316, 19505
147, 340, 4160
148, 330, 53
149, 378, 2394
150, 424, 149
151, 447, 149
152, 362, 22006
153, 377, 2667
154, 281, 2280
155, 441, 152
156, 457, 152
157, 345, 23458
158, 334, 7913
159, 451, 152
160, 388, 152
161, 240, 27274
162, 226, 11962
163, 273, 3307
164, 277, 163
165, 321, 4797
166, 348, 163
167, 348, 163
168, 283, 163
169, 324, 10401
170, 295, 163
171, 282, 163
172, 274, 53
173, 329, 163
174, 403, 24144
175, 264, 6850
176, 394, 14717
177, 277, 212
178, 410, 174
179, 455, 174
180, 373, 16082
181, 462, 174
182, 501, 174
183, 482, 174
184, 335, 1456
185, 365, 184
186, 312, 11558
187, 398, 22121
188, 355, 184
189, 264, 32974
190, 295, 2357
191, 331, 877
192, 260, 4701
193, 370, 184
194, 213, 1877
195, 215, 194
196, 267, 194
197, 291, 194
198, 244, 194
199, 228, 194
200, 302, 194
201, 221, 194
202, 239, 194
203, 222, 194
204, 281, 194
205, 4294967295, 0
206, 313, 4811
207, 333, 33428
208, 4294967295, 0
209, 313, 1307
210, 245, 6434
211, 271, 210
212, 263, 210
213, 283, 210
214, 252, 210
215, 304, 210
216, 246, 210
217, 273, 210
218, 335, 210
219, 283, 210
220, 234, 48
221, 262, 48
222, 190, 48
223, 179, 5627
224, 233, 48
225, 217, 48
226, 286, 48
227, 201, 48
228, 224, 48
229, 218, 48
230, 453, 160
231, 300, 7337
232, 313, 6218
233, 350, 19958
234, 407, 160
235, 437, 7330
236, 290, 20221
237, 245, 4846
238, 463, 160
239, 400, 160
240, 255, 18164
241, 218, 5951
242, 262, 240
243, 349, 240
244, 281, 25187
245, 291, 8468
246, 281, 240
247, 328, 240
248, 340, 240
249, 225, 3924
250, 4294967295, 0
251, 4294967295, 0
252, 4294967295, 0
253, 4294967295, 0
254, 4294967295, 0
255, 208, 4043
256, 4294967295, 0
257, 290, 3155
258, 4294967295, 0
259, 4294967295, 0
260, 420, 3147
261, 441, 27441
262, 341, 795
263, 244, 18497
264, 441, 14681
265, 479, 261
266, 541, 261
267, 338, 32175
268, 288, 395
269, 306, 1853
270, 358, 680
271, 525, 261
272, 336, 10584
273, 310, 411
274, 4294967295, 0
275, 4294967295, 0
276, 4294967295, 0
277, 4294967295, 0
278, 304, 2210
279, 275, 1184
280, 4294967295, 0
281, 4294967295, 0
282, 302, 795
283, 330, 20027
284, 375, 9463
285, 4294967295, 0
286, 248, 12513
287, 4294967295, 0
288, 203, 4561
289, 4294967295, 0
290, 284, 26493
291, 4294967295, 0
292, 183, 9245
293, 334, 4674
294, 4294967295, 0
295, 4294967295, 0
296, 248, 25317
297, 264, 296
298, 293, 296
299, 290, 296
300, 318, 296
301, 262, 296
302, 286, 296
303, 264, 4526
304, 259, 296
305, 287, 296
306, 345, 296
307, 336, 4328
308, 339, 307
309, 361, 307
310, 228, 3903
311, 291, 310
312, 262, 310
313, 261, 310
314, 271, 2989
315, 325, 310
316, 315, 310
317, 245, 310
318, 233, 310
319, 319, 310
320, 254, 310
321, 229, 5276
322, 281, 321
323, 264, 321
324, 281, 321
325, 304, 321
326, 268, 321
327, 298, 321
328, 283, 321
329, 234, 8023
330, 324, 321
331, 158, 5446
332, 458, 30911
333, 461, 332
334, 220, 1752
335, 437, 1038
336, 549, 332
337, 521, 332
338, 459, 332
339, 486, 332
340, 555, 332
341, 479, 332
342, 528, 332
343, 99, 2
344, 100, 343
345, 122, 343
346, 164, 343
347, 145, 343
348, 160, 343
349, 197, 343
350, 158, 343
351, 183, 343
352, 196, 343
353, 191, 343
354, 4294967295, 0
355, 242, 83
356, 251, 83
357, 274, 83
358, 198, 1761
359, 255, 83
360, 277, 4377
361, 213, 1760
362, 227, 8177
