node, distance_to, predecessor
0, 0, 0
1, 55, 0
2, 60, 0
3, 72, 0
4, 85, 0
5, 61, 0
6, 86, 0
7, 55, 0
8, 85, 0
9, 43, 0
10, 63, 0
11, 94, 1
12, 99, 1
13, 85, 1
14, 145, 1
15, 61, 1
16, 152, 1
17, 83, 1
18, 94, 1
19, 103, 1
20, 152, 3
21, 154, 3
22, 125, 3
23, 120, 3
24, 129, 3
25, 112, 3
26, 165, 3
27, 156, 3
28, 80, 3
29, 106, 3
30, 94, 8
31, 150, 8
32, 88, 8
33, 122, 8
34, 169, 8
35, 181, 8
36, 163, 8
37, 100, 8
38, 173, 8
39, 173, 8
40, 163, 12
41, 158, 12
42, 114, 12
43, 153, 12
44, 194, 12
45, 175, 12
46, 152, 12
47, 110, 12
48, 141, 12
49, 147, 12
50, 220, 20
51, 170, 20
52, 174, 20
53, 188, 20
54, 165, 20
55, 228, 20
56, 184, 20
57, 122, 75
58, 189, 20
59, 185, 20
60, 158, 21
61, 198, 21
62, 218, 21
63, 242, 83
64, 250, 21
65, 165, 21
66, 220, 21
67, 175, 21
68, 218, 21
69, 139, 19
70, 165, 19
71, 147, 19
72, 194, 19
73, 173, 19
74, 113, 19
75, 110, 19
76, 200, 19
77, 170, 19
78, 169, 19
79, 145, 17
80, 98, 17
81, 145, 17
82, 106, 17
83, 145, 17
84, 122, 17
85, 178, 17
86, 165, 113
87, 152, 17
88, 128, 17
89, 202, 26
90, 222, 3058
91, 248, 26
92, 167, 26
93, 175, 26
94, 228, 26
95, 249, 26
96, 233, 26
97, 175, 26
98, 175, 25
99, 128, 25
100, 146, 25
101, 124, 25
102, 180, 25
103, 178, 25
104, 144, 25
105, 126, 25
106, 190, 25
107, 132, 25
108, 137, 23
109, 220, 23
110, 186, 23
111, 179, 23
112, 146, 23
113, 162, 23
114, 167, 23
115, 168, 23
116, 145, 23
117, 220, 38
118, 204, 3134
119, 271, 38
120, 179, 38
121, 234, 38
122, 219, 38
123, 247, 38
124, 175, 38
125, 177, 38
126, 218, 38
127, 223, 1430
128, 159, 46
129, 174, 46
130, 222, 46
131, 191, 1184
132, 209, 46
133, 236, 2618
134, 179, 46
135, 203, 46
136, 111, 10
137, 143, 10
138, 144, 10
139, 110, 10
140, 116, 10
141, 142, 10
142, 131, 10
143, 75, 10
144, 136, 10
145, 172, 356
146, 185, 519
147, 175, 54
148, 208, 475
149, 213, 5673
150, 174, 54
151, 258, 54
152, 193, 54
153, 197, 54
154, 166, 54
155, 202, 39
156, 271, 39
157, 186, 39
158, 209, 39
159, 203, 39
160, 222, 39
161, 174, 385
162, 172, 260
163, 205, 39
164, 187, 92
165, 178, 4984
166, 217, 106
167, 179, 154
168, 254, 58
169, 241, 1409
170, 243, 675
171, 204, 106
172, 216, 58
173, 208, 58
174, 229, 58
175, 254, 61
176, 226, 1071
177, 287, 3465
178, 236, 65
179, 219, 62
180, 233, 62
181, 280, 474
182, 261, 1072
183, 246, 62
184, 217, 60
185, 192, 30
186, 182, 30
187, 263, 73
188, 231, 73
189, 230, 1184
190, 196, 73
191, 263, 73
192, 256, 3919
193, 156, 81
194, 218, 73
195, 218, 73
196, 175, 81
197, 239, 65
198, 194, 65
199, 172, 14
200, 209, 65
201, 190, 65
202, 241, 65
203, 223, 65
204, 200, 1536
205, 225, 65
206, 225, 76
207, 259, 76
208, 188, 87
209, 289, 76
210, 297, 76
211, 270, 76
212, 259, 76
213, 255, 867
214, 266, 76
215, 251, 76
216, 140, 75
217, 187, 75
218, 192, 75
219, 152, 75
220, 150, 75
221, 178, 75
222, 199, 75
223, 211, 83
224, 178, 83
225, 189, 83
226, 168, 83
227, 235, 83
228, 160, 83
229, 182, 83
230, 155, 83
231, 189, 83
232, 165, 80
233, 127, 80
234, 128, 80
235, 137, 80
236, 160, 80
237, 173, 80
238, 141, 80
239, 186, 80
240, 112, 80
241, 198, 2409
242, 199, 87
243, 252, 87
244, 237, 87
245, 167, 87
246, 243, 87
247, 239, 87
248, 156, 87
249, 268, 1305
250, 279, 2768
251, 315, 428
252, 269, 4752
253, 266, 91
254, 282, 91
255, 301, 91
256, 163, 236
257, 254, 91
258, 282, 91
259, 259, 90
260, 142, 144
261, 201, 506
262, 299, 1414
263, 204, 2440
264, 193, 280
265, 233, 1430
266, 214, 8751
267, 230, 2056
268, 206, 89
269, 209, 89
270, 204, 9218
271, 272, 89
272, 240, 89
273, 248, 89
274, 245, 89
275, 185, 92
276, 169, 92
277, 185, 92
278, 247, 92
279, 214, 92
280, 190, 92
281, 220, 1194
282, 202, 92
283, 262, 92
284, 186, 2389
285, 246, 93
286, 235, 93
287, 179, 93
288, 209, 3022
289, 149, 137
290, 207, 528
291, 223, 256
292, 145, 88
293, 141, 88
294, 206, 88
295, 213, 88
296, 182, 287
297, 209, 88
298, 170, 88
299, 215, 2917
300, 274, 2119
301, 287, 1929
302, 252, 94
303, 240, 1655
304, 252, 698
305, 255, 94
306, 280, 1786
307, 254, 675
308, 212, 5032
309, 232, 77
310, 201, 3546
311, 204, 386
312, 172, 77
313, 196, 101
314, 224, 101
315, 171, 101
316, 146, 101
317, 170, 101
318, 191, 101
319, 215, 101
320, 190, 99
321, 146, 99
322, 183, 99
323, 131, 99
324, 180, 287
325, 135, 99
326, 203, 99
327, 196, 99
328, 161, 1454
329, 174, 99
330, 196, 99
331, 182, 99
332, 189, 99
333, 259, 5096
334, 271, 856
335, 280, 1107
336, 307, 96
337, 245, 1186
338, 265, 96
339, 216, 4711
340, 227, 1369
341, 255, 96
342, 191, 328
343, 193, 106
344, 213, 106
345, 211, 6137
346, 197, 3133
347, 223, 106
348, 217, 3133
349, 229, 106
350, 165, 108
351, 169, 112
352, 220, 112
353, 235, 112
354, 172, 112
355, 178, 112
356, 168, 112
357, 242, 112
358, 198, 112
359, 194, 112
360, 234, 113
361, 183, 113
362, 178, 113
363, 205, 113
364, 236, 113
365, 200, 113
366, 227, 113
367, 201, 567
368, 218, 118
369, 222, 118
370, 169, 289
371, 275, 118
372, 244, 118
373, 251, 118
374, 238, 1048
375, 229, 1495
376, 223, 118
377, 203, 144
378, 269, 3815
379, 224, 1306
380, 271, 1809
381, 286, 4051
382, 190, 2138
383, 298, 3060
384, 315, 2227
385, 148, 826
386, 185, 289
387, 258, 2416
388, 239, 109
389, 288, 109
390, 199, 2002
391, 236, 1308
392, 223, 1656
